date,value,temperature,day_of_week,month,is_weekend
2020-01-01,98.12136128410916,21.158944993227973,0,1,0
2020-01-02,107.301712668302,20.49985995167458,1,1,0
2020-01-03,103.72881796201965,21.390226893494937,2,1,0
2020-01-04,101.21026804375344,20.56583834146411,3,1,0
2020-01-05,95.68465444429191,21.461442644566112,4,1,0
2020-01-06,97.04605159566981,19.72657719195448,5,1,1
2020-01-07,84.94296311256093,21.76388309054331,6,1,1
2020-01-08,107.06499060037565,19.890359737748543,0,1,0
2020-01-09,110.5231716066099,22.523280128851358,1,1,0
2020-01-10,125.57755519712921,19.55623256084627,2,1,0
2020-01-11,111.46660574766946,22.391644545295158,3,1,0
2020-01-12,104.15887260269938,21.657559330863894,4,1,0
2020-01-13,95.44169894498029,21.83766855154309,5,1,1
2020-01-14,100.74576711917508,20.670593703329633,6,1,1
2020-01-15,107.17683595298678,25.663305803845596,0,1,0
2020-01-16,116.09258436659891,22.42008737525537,1,1,0
2020-01-17,122.75042854919943,22.794024249084032,2,1,0
2020-01-18,117.2838575784083,23.715864346815636,3,1,0
2020-01-19,107.07836463226067,24.869240332275297,4,1,0
2020-01-20,90.40378788825912,21.83253659432687,5,1,1
2020-01-21,97.0630741490708,24.862512057578694,6,1,1
2020-01-22,106.73533024997799,21.985105466324786,0,1,0
2020-01-23,124.8728594234266,26.188333330759495,1,1,0
2020-01-24,119.17924161968152,23.746812359986972,2,1,0
2020-01-25,119.90957161578062,23.88082302843032,3,1,0
2020-01-26,104.02547201793425,26.673192594210903,4,1,0
2020-01-27,95.47168476617745,27.030497408957682,5,1,1
2020-01-28,101.84811965559949,29.228564599307123,6,1,1
2020-01-29,115.77712162452782,27.660223359372072,0,1,0
2020-01-30,115.68597175052567,25.849726942927845,1,1,0
2020-01-31,120.31650532930799,29.86956128761309,2,1,0
2020-02-01,115.80833647515617,28.475320651141693,3,2,0
2020-02-02,110.40123584611116,26.674725677615612,4,2,0
2020-02-03,98.39877175253964,24.977576151037596,5,2,1
2020-02-04,107.66059430341153,27.662762257721806,6,2,1
2020-02-05,121.76416617637805,24.974085801348814,0,2,0
2020-02-06,132.07100387079953,29.453720066630257,1,2,0
2020-02-07,131.8772756535414,28.942202933644346,2,2,0
2020-02-08,124.0391766720881,28.757941783769255,3,2,0
2020-02-09,114.4526875182366,26.91237003009279,4,2,0
2020-02-10,111.81109020814098,28.556184413501512,5,2,1
2020-02-11,108.4109960647901,27.081046467739615,6,2,1
2020-02-12,107.93892369398523,32.01097123310444,0,2,0
2020-02-13,127.36076129117659,30.316585603125404,1,2,0
2020-02-14,129.92514321720031,32.11886512773094,2,2,0
2020-02-15,127.43737833798657,29.339101557361552,3,2,0
2020-02-16,122.90508160901973,33.50265274078018,4,2,0
2020-02-17,113.43919089824212,31.155473849960867,5,2,1
2020-02-18,114.4418224198827,30.801384986481942,6,2,1
2020-02-19,120.55018708307453,33.27958312995377,0,2,0
2020-02-20,130.47935362914302,30.999352047169936,1,2,0
