date,value,temperature,day_of_week,month,is_weekend
2020-01-01,101.85039730201748,17.5991061203643,0,1,0
2020-01-02,108.07774429727276,19.750528988283513,1,1,0
2020-01-03,107.8735982889119,19.753493913927255,2,1,0
2020-01-04,114.98510716014852,20.354372453543725,3,1,0
2020-01-05,98.53459745572123,18.642160754923673,4,1,0
2020-01-06,97.72226198835766,26.158959520228755,5,1,1
2020-01-07,94.14231222033511,20.856008268295852,6,1,1
2020-01-08,104.02834854909403,22.39097569807513,0,1,0
2020-01-09,114.25398486222267,20.45007588978164,1,1,0
2020-01-10,115.98777528002671,23.261482640881557,2,1,0
2020-01-11,103.67003851120494,25.77281576401274,3,1,0
2020-01-12,102.81588315313091,23.707742321504824,4,1,0
2020-01-13,96.85502803042097,24.94764962771722,5,1,1
2020-01-14,97.24332794719787,23.254811219724946,6,1,1
2020-01-15,103.82748391752338,21.373316599625255,0,1,0
2020-01-16,115.58577981190619,26.152286387931312,1,1,0
2020-01-17,118.8862226641736,22.309541349636927,2,1,0
2020-01-18,97.9319685254791,28.519920043379837,3,1,0
2020-01-19,99.9018528338843,24.367852504591117,4,1,0
2020-01-20,95.01715736299803,25.035836815160277,5,1,1
2020-01-21,101.78401809409378,28.576939621380326,6,1,1
2020-01-22,99.19027928082068,25.611247468032253,0,1,0
2020-01-23,117.33268831654665,25.573600649963385,1,1,0
2020-01-24,110.12836051388683,25.879742735120786,2,1,0
2020-01-25,105.74032699370713,25.431150578270817,3,1,0
2020-01-26,111.87778967800388,26.319010429010238,4,1,0
2020-01-27,102.46373926011364,25.664464754192284,5,1,1
2020-01-28,111.38190079861567,27.088303524948774,6,1,1
2020-01-29,112.81694036180664,24.30350897932323,0,1,0
2020-01-30,124.20658970292753,26.758829291851548,1,1,0
2020-01-31,132.3479496979879,29.170317951689402,2,1,0
2020-02-01,109.49184646349977,26.667265508378563,3,2,0
2020-02-02,107.03132622849292,26.350584390636115,4,2,0
2020-02-03,96.51060427394769,29.260402731055592,5,2,1
2020-02-04,112.389889940075,29.69282458252869,6,2,1
2020-02-05,105.29056103238952,26.90572605063489,0,2,0
2020-02-06,122.12210576754094,31.663969225184125,1,2,0
2020-02-07,132.7943085598696,28.291500671690223,2,2,0
2020-02-08,121.63755471392389,29.528410543024428,3,2,0
2020-02-09,109.59259860542541,31.197574274381882,4,2,0
