date,value,temperature,day_of_week,month,is_weekend
2020-01-01,107.4921829576491,19.4353034758855,0,1,0
2020-01-02,106.34905693754723,20.43988339034392,1,1,0
2020-01-03,116.62959961174717,18.81039689699049,2,1,0
2020-01-04,111.12247829585836,20.275164579266608,3,1,0
2020-01-05,88.72756704630864,21.002724725945644,4,1,0
2020-01-06,94.80391413703268,21.872046337116263,5,1,1
2020-01-07,97.42617310905685,20.085376581092834,6,1,1
2020-01-08,107.10060121490905,20.678649562603507,0,1,0
2020-01-09,109.21802674541065,20.322524100817127,1,1,0
2020-01-10,114.04650245031783,23.440452365209612,2,1,0
2020-01-11,111.96443345948948,25.245177535405407,3,1,0
2020-01-12,102.469007718364,23.5316898342144,4,1,0
2020-01-13,94.33221716705361,22.460770325910893,5,1,1
2020-01-14,98.64354552184344,23.233275268279503,6,1,1
2020-01-15,110.26552580932268,25.572563098349136,0,1,0
2020-01-16,117.7041521927729,21.78824760137392,1,1,0
2020-01-17,106.32513280450236,25.144978037204496,2,1,0
2020-01-18,114.26191522182457,23.833530538560126,3,1,0
2020-01-19,98.44957392396844,25.863788864171664,4,1,0
2020-01-20,90.22537112018752,25.102737339987506,5,1,1
2020-01-21,97.54871369344457,22.872929250807783,6,1,1
2020-01-22,109.66766235874621,25.967097879172083,0,1,0
2020-01-23,120.45916463315889,27.950144174011946,1,1,0
2020-01-24,124.4402880578055,28.664224697726368,2,1,0
2020-01-25,106.71263673040785,25.636395109704203,3,1,0
2020-01-26,105.22631559333774,27.202641828298674,4,1,0
2020-01-27,101.86997290375547,28.288622902406917,5,1,1
2020-01-28,102.1767398614101,22.896856070333754,6,1,1
2020-01-29,112.75844164247971,25.72062619804361,0,1,0
2020-01-30,114.60710775022918,27.097900960602967,1,1,0
2020-01-31,124.17678189346604,28.0755925894993,2,1,0
2020-02-01,112.6485000946164,23.525651389546304,3,2,0
2020-02-02,115.68189631482697,29.34577802392439,4,2,0
2020-02-03,100.63493209029781,28.092760268471267,5,2,1
2020-02-04,106.54719780533355,26.87273736117302,6,2,1
2020-02-05,110.46742617290646,26.37516952293924,0,2,0
2020-02-06,121.68203715564431,25.499136687513516,1,2,0
2020-02-07,126.81012672805777,29.067393805369658,2,2,0
2020-02-08,114.74677786868308,27.261391767528405,3,2,0
2020-02-09,111.07526583150403,30.32814298888696,4,2,0
2020-02-10,103.13695853543004,28.911956396691135,5,2,1
2020-02-11,120.7775301410992,26.720883689313347,6,2,1
2020-02-12,104.02896482420933,31.96565163235948,0,2,0
2020-02-13,122.11540417709156,31.07433501598937,1,2,0
2020-02-14,125.73432616017848,29.802322692669343,2,2,0
2020-02-15,126.59313488580229,30.363113181699912,3,2,0
2020-02-16,119.37557603035488,32.48350195622731,4,2,0
2020-02-17,113.42299967602352,29.391196197549,5,2,1
2020-02-18,103.9144296489965,32.1269990992145,6,2,1
2020-02-19,126.79187169202265,27.67121425267082,0,2,0
2020-02-20,125.65751882400242,34.14165279052598,1,2,0
2020-02-21,129.94141385718203,31.618199876150804,2,2,0
2020-02-22,128.73028828827955,34.66802708602834,3,2,0
2020-02-23,118.05760951896046,31.192810613943944,4,2,0
2020-02-24,115.59856432952056,32.967858220429655,5,2,1
2020-02-25,119.58322509638768,32.524502542286974,6,2,1
2020-02-26,120.04462822640951,28.62276620743177,0,2,0
2020-02-27,137.87615207611407,32.947369654163936,1,2,0
2020-02-28,131.87070696705842,33.31245794228886,2,2,0
2020-02-29,123.26196080577968,31.833496858447322,3,2,0
2020-03-01,117.76303119992599,28.671287925412756,4,3,0
2020-03-02,114.54990841338665,34.433933264400984,5,3,1
2020-03-03,118.5836438686453,33.685047651470285,6,3,1
2020-03-04,127.11622911516034,31.946679345706592,0,3,0
2020-03-05,131.27682412064803,30.562549565104263,1,3,0
2020-03-06,142.5977247628703,34.35854600202658,2,3,0
2020-03-07,127.30944438144634,36.2396857058692,3,3,0
2020-03-08,125.61427921320421,33.03641120105411,4,3,0
2020-03-09,117.74275806970472,35.91996748708963,5,3,1
2020-03-10,113.30838432660538,37.36141111784721,6,3,1
2020-03-11,128.74205506525652,34.95922084521188,0,3,0
2020-03-12,132.42494578086854,36.409380294456426,1,3,0
2020-03-13,135.31143489387543,32.70026991096688,2,3,0
2020-03-14,127.5983167904474,32.74100057318598,3,3,0
2020-03-15,121.04835449584435,32.83171457887711,4,3,0
2020-03-16,121.29131171703848,32.872589648712776,5,3,1
2020-03-17,122.12151892195133,33.29822580716372,6,3,1
2020-03-18,125.83185198712286,37.85276491261662,0,3,0
2020-03-19,134.1165778621294,35.37291055301639,1,3,0
2020-03-20,133.7150482379965,31.167801616662278,2,3,0
2020-03-21,131.484858742289,34.21939243597528,3,3,0
2020-03-22,119.20938771395318,37.0797364961932,4,3,0
2020-03-23,124.23659003841665,34.62241673992271,5,3,1
2020-03-24,125.02669151245475,37.372952426535846,6,3,1
2020-03-25,125.16949219666512,35.72621356406543,0,3,0
2020-03-26,131.8193323125108,34.5283997381034,1,3,0
2020-03-27,139.36638409623498,32.62359013296161,2,3,0
2020-03-28,135.74908614686532,36.550501492047594,3,3,0
2020-03-29,134.41295887445332,36.678983470798265,4,3,0
2020-03-30,123.47722589677828,35.44329933356776,5,3,1
2020-03-31,134.3984545455512,33.80440695415737,6,3,1
2020-04-01,132.05968632340486,34.41542838308535,0,4,0
2020-04-02,137.80177682666329,36.43564740706399,1,4,0
2020-04-03,144.62621188112115,33.48806987680213,2,4,0
2020-04-04,134.8067294538677,35.65351615527913,3,4,0
2020-04-05,116.98016315602466,34.334271634981164,4,4,0
2020-04-06,124.22590030470641,39.58910513785353,5,4,1
2020-04-07,125.04005127172151,37.3766454274274,6,4,1
2020-04-08,126.26473545555982,32.10843328212056,0,4,0
2020-04-09,137.73596365539257,33.34843487663368,1,4,0
2020-04-10,135.95743107798782,34.096457294309154,2,4,0
2020-04-11,129.66827141369845,31.161405420316427,3,4,0
2020-04-12,126.86065631282689,36.48368981838265,4,4,0
2020-04-13,126.18712550870656,35.7201381622146,5,4,1
2020-04-14,130.3024579400985,35.19187897771642,6,4,1
2020-04-15,130.38275137199682,34.00468911494425,0,4,0
2020-04-16,141.5258379566666,34.77359556531579,1,4,0
2020-04-17,151.89423694936545,35.98524984623909,2,4,0
2020-04-18,135.91831369805038,35.89678333686303,3,4,0
2020-04-19,127.95550280420349,34.639147333961546,4,4,0
2020-04-20,121.80299625324966,37.74092831042434,5,4,1
2020-04-21,122.54555915768175,39.1067861908066,6,4,1
2020-04-22,132.4843792939611,29.470641725494954,0,4,0
2020-04-23,138.8034505098623,35.60551925779714,1,4,0
2020-04-24,146.54814072651757,31.184426592540625,2,4,0
2020-04-25,141.49163777822287,35.28144931592455,3,4,0
2020-04-26,127.70656043202716,33.43517407943838,4,4,0
2020-04-27,125.93423380727765,28.58594449263515,5,4,1
2020-04-28,123.7071714963026,33.33276166634223,6,4,1
2020-04-29,132.58733496272765,37.46991411952384,0,4,0
2020-04-30,143.6345845567897,37.382818586628446,1,4,0
2020-05-01,142.61458634328443,34.70383894445088,2,5,0
2020-05-02,136.92211301907722,29.17136286275692,3,5,0
2020-05-03,134.9758317192572,35.93151862304019,4,5,0
2020-05-04,122.17306292771812,35.883510744528486,5,5,1
2020-05-05,111.70918446608913,33.36545605468279,6,5,1
2020-05-06,132.60251439742115,30.440836214885156,0,5,0
2020-05-07,141.58684370006256,32.68654758028013,1,5,0
2020-05-08,145.7970130502554,32.5467658304788,2,5,0
2020-05-09,130.3327063728309,31.501423871500755,3,5,0
2020-05-10,125.8989251423039,31.67074728926244,4,5,0
2020-05-11,123.1545302093212,32.26894687322953,5,5,1
2020-05-12,127.72977442424276,31.40756780419018,6,5,1
2020-05-13,137.5283407315167,31.874034874213915,0,5,0
2020-05-14,132.8411505462129,34.88712160391177,1,5,0
2020-05-15,136.60257551934396,28.474180665029184,2,5,0
2020-05-16,134.8663455724912,29.66693886665645,3,5,0
2020-05-17,119.51328225592461,34.333881117128,4,5,0
2020-05-18,120.16414079475025,32.980114066404035,5,5,1
2020-05-19,121.34994765063624,35.548908052157685,6,5,1
2020-05-20,129.38436147429726,31.008631521826178,0,5,0
2020-05-21,137.15545677173014,29.068502872826315,1,5,0
2020-05-22,135.53455284210068,28.683810697235682,2,5,0
2020-05-23,136.87509989596157,32.81734599357317,3,5,0
2020-05-24,121.1434653559897,29.204898160779155,4,5,0
2020-05-25,127.14793943018265,26.190953444638318,5,5,1
2020-05-26,129.31912709494486,28.749810711195565,6,5,1
2020-05-27,127.10739198489269,27.64136880509891,0,5,0
2020-05-28,132.2288382132672,28.094666937095628,1,5,0
2020-05-29,133.62345063503426,28.5068483253083,2,5,0
2020-05-30,128.14548033318852,31.56676470367864,3,5,0
2020-05-31,120.91304044229285,30.594856449445558,4,5,0
2020-06-01,115.47963713195091,24.901043878629498,5,6,1
2020-06-02,134.61548493300697,26.496664732459013,6,6,1
2020-06-03,130.3086394830917,25.49370291383351,0,6,0
2020-06-04,134.98920133204484,27.198934726527078,1,6,0
2020-06-05,140.75051951418672,29.135197124282783,2,6,0
2020-06-06,122.39317787951387,29.254240561028272,3,6,0
2020-06-07,127.52400511827182,27.05697160691842,4,6,0
2020-06-08,117.18051163851153,24.851158961588546,5,6,1
2020-06-09,125.93358933450376,26.355844611488557,6,6,1
2020-06-10,136.2599802276917,23.997180708775527,0,6,0
2020-06-11,132.0635263418399,25.60508653014849,1,6,0
2020-06-12,137.43553060089772,30.343349172628695,2,6,0
2020-06-13,131.52728739605388,25.687233681479583,3,6,0
2020-06-14,122.17057382299069,23.74564726071763,4,6,0
2020-06-15,123.31112328938408,25.160165856483477,5,6,1
2020-06-16,122.35247639713516,27.886646970824124,6,6,1
2020-06-17,125.27159013017959,22.153874051821184,0,6,0
2020-06-18,137.98186128948726,20.811831113585228,1,6,0
2020-06-19,135.6666189882468,24.254116820841617,2,6,0
2020-06-20,130.27055098104626,18.53471458781941,3,6,0
2020-06-21,119.50682961769475,22.57109940507627,4,6,0
2020-06-22,113.44525850912557,21.959497650972448,5,6,1
2020-06-23,117.21429996891408,24.655844431575474,6,6,1
2020-06-24,127.41334583557187,21.440831525864972,0,6,0
2020-06-25,133.31246738469844,23.081026154134484,1,6,0
2020-06-26,129.36806871928323,18.195618508963356,2,6,0
2020-06-27,126.68008072270696,20.399216991047513,3,6,0
2020-06-28,115.5386213738689,22.501375838930876,4,6,0
2020-06-29,108.48117370449727,21.09771020249694,5,6,1
2020-06-30,111.08976244491203,19.693080905053904,6,6,1
2020-07-01,120.11087487455748,19.861469414053605,0,7,0
2020-07-02,128.62389928896167,18.017228409232764,1,7,0
2020-07-03,135.48872895225648,21.61484977917016,2,7,0
2020-07-04,132.3150453640985,19.991479708761357,3,7,0
2020-07-05,124.01556122788419,17.055475090392374,4,7,0
2020-07-06,105.19658118637734,18.550617998476234,5,7,1
2020-07-07,116.94616885560131,17.728902548621097,6,7,1
2020-07-08,117.6631975480625,20.857908965950443,0,7,0
2020-07-09,128.78635447421448,19.62392144199591,1,7,0
2020-07-10,138.9887791476651,14.186870114294535,2,7,0
2020-07-11,128.76642817092917,15.630235156835623,3,7,0
2020-07-12,119.64151609509942,20.720004203627724,4,7,0
2020-07-13,110.66822079587573,15.959373415640558,5,7,1
2020-07-14,117.26465193699208,16.592160336832617,6,7,1
2020-07-15,125.99138683623711,18.107508585799852,0,7,0
2020-07-16,127.55312216776245,16.398204330450717,1,7,0
2020-07-17,122.61292235500704,14.37145991616529,2,7,0
2020-07-18,116.71713682961153,12.50629081692917,3,7,0
2020-07-19,111.99490939039303,14.496742525736098,4,7,0
2020-07-20,98.60077424673734,16.295190915169496,5,7,1
2020-07-21,115.40170365652814,14.305762480730074,6,7,1
2020-07-22,119.04337534180712,17.98238602191401,0,7,0
2020-07-23,122.6663517490168,15.734957978279095,1,7,0
2020-07-24,130.46488933236765,14.98850388308219,2,7,0
2020-07-25,124.50406347288981,17.987772718119935,3,7,0
2020-07-26,119.57805997884005,13.67550037458626,4,7,0
2020-07-27,108.1197804282423,10.772966662536826,5,7,1
2020-07-28,103.21453363574888,12.6689448003549,6,7,1
2020-07-29,124.90595596586924,14.404324371258307,0,7,0
2020-07-30,130.42228200105222,11.043776203149191,1,7,0
2020-07-31,135.9440273341858,12.77736681973989,2,7,0
2020-08-01,126.21891953091308,11.896106677403539,3,8,0
2020-08-02,114.50783214810566,12.63896554613603,4,8,0
2020-08-03,102.55716116556697,10.119344153604143,5,8,1
2020-08-04,115.84494968138426,12.063917678359688,6,8,1
2020-08-05,112.06689510622368,10.524901321195765,0,8,0
2020-08-06,123.22302563975968,7.046314675677835,1,8,0
2020-08-07,128.03266950179946,12.714999924936441,2,8,0
2020-08-08,122.77154023237082,8.876678739771336,3,8,0
2020-08-09,112.28828589076058,10.677080600877165,4,8,0
2020-08-10,103.9988957551057,12.893380244565858,5,8,1
2020-08-11,109.7037130342384,10.16345758532727,6,8,1
2020-08-12,112.02273814377715,13.239927465120308,0,8,0
2020-08-13,120.25723679052396,9.446236459473262,1,8,0
2020-08-14,128.25681814292494,7.4828784572310045,2,8,0
2020-08-15,106.83009433758784,7.862242559811808,3,8,0
2020-08-16,110.16657093533323,12.097742081251427,4,8,0
2020-08-17,105.66091788723658,13.087853970412644,5,8,1
2020-08-18,99.96837561403336,11.511965425809773,6,8,1
2020-08-19,108.61689087400885,7.8077532149300755,0,8,0
2020-08-20,108.93794530091245,11.675813065040389,1,8,0
2020-08-21,130.61037230442093,7.101835251456036,2,8,0
2020-08-22,114.32244508129727,7.0800166315221364,3,8,0
2020-08-23,103.66385680856317,8.669078358518485,4,8,0
2020-08-24,102.1157620177479,5.390509472260334,5,8,1
2020-08-25,109.32269486026897,6.140991009202843,6,8,1
2020-08-26,114.12893902966604,6.493902030814951,0,8,0
2020-08-27,129.07929167107426,6.334371676301646,1,8,0
2020-08-28,125.65547151300032,8.454500355427298,2,8,0
2020-08-29,125.14774959030397,9.618674215372218,3,8,0
2020-08-30,109.7584047396038,8.32193335052604,4,8,0
2020-08-31,102.77083342123845,7.371004186893979,5,8,1
2020-09-01,111.93902976959028,7.59507818373655,6,9,1
2020-09-02,113.32626284824858,6.077598351852509,0,9,0
2020-09-03,116.74851810424938,7.613645974999162,1,9,0
2020-09-04,122.64261676069694,4.672846178837784,2,9,0
2020-09-05,119.19240507289386,7.2091956460868385,3,9,0
2020-09-06,111.09948661270653,7.577128934520813,4,9,0
2020-09-07,94.75240551250033,5.0349037283300255,5,9,1
2020-09-08,102.06658631097281,6.59511235012761,6,9,1
2020-09-09,117.56744169785233,8.905672701613895,0,9,0
2020-09-10,116.56810365109209,5.372028867549472,1,9,0
2020-09-11,126.501404401618,7.750638029590611,2,9,0
2020-09-12,122.06000517898444,8.463862818628117,3,9,0
2020-09-13,113.18140394257267,4.526133494907964,4,9,0
2020-09-14,93.13433948528723,3.4000580675333447,5,9,1
2020-09-15,112.8393432403281,10.885740886353204,6,9,1
2020-09-16,108.41793117425915,2.7489800601200396,0,9,0
2020-09-17,121.92927485370971,7.601060063293094,1,9,0
2020-09-18,127.84620346475121,6.606353954301447,2,9,0
2020-09-19,117.39683463928765,4.14656294824438,3,9,0
2020-09-20,103.7960821062938,5.300436285792935,4,9,0
2020-09-21,107.19061292257345,8.29217061871385,5,9,1
2020-09-22,102.73408435973109,5.3823590338610074,6,9,1
2020-09-23,113.52079515777962,5.123278140037368,0,9,0
2020-09-24,127.41920319870752,6.247331514544314,1,9,0
2020-09-25,124.26393406314534,3.0022009317472347,2,9,0
2020-09-26,118.23551062231235,5.605068565795387,3,9,0
2020-09-27,106.19325126532584,5.34578205480108,4,9,0
2020-09-28,101.68973446338683,4.390990353608724,5,9,1
2020-09-29,111.08560634585538,4.992108116182055,6,9,1
2020-09-30,109.55876542063776,1.9362415022768191,0,9,0
2020-10-01,119.42993046569951,2.523085571836125,1,10,0
2020-10-02,116.08432015702633,5.026972584472518,2,10,0
2020-10-03,121.32865816938114,3.9117573111369817,3,10,0
2020-10-04,116.18987986936283,6.5483995612111485,4,10,0
2020-10-05,105.31805085176366,6.248180435303714,5,10,1
2020-10-06,101.92503666534863,5.36217259721923,6,10,1
2020-10-07,111.5043519248589,5.719914877589697,0,10,0
2020-10-08,122.50716825983062,5.5513248461006555,1,10,0
2020-10-09,124.80783037794366,4.122436761154381,2,10,0
