date,value,temperature,day_of_week,month,is_weekend
2020-01-01,90.88329398671667,20.463493294564035,0,1,0
2020-01-02,116.73228392487404,21.691927361833844,1,1,0
2020-01-03,109.29835683516269,22.93318241623971,2,1,0
2020-01-04,108.64893407905953,20.98147656403584,3,1,0
2020-01-05,96.40528060499932,25.065416864338054,4,1,0
2020-01-06,99.15476498467577,23.334184343250747,5,1,1
2020-01-07,96.5767636174001,24.24624720700735,6,1,1
2020-01-08,91.5787057861591,19.71849604526291,0,1,0
2020-01-09,114.39483916338219,22.053230294061606,1,1,0
2020-01-10,120.57451748822865,20.526403449800046,2,1,0
2020-01-11,106.33904005457102,23.906757291408717,3,1,0
2020-01-12,99.40552327999147,26.10499743199538,4,1,0
2020-01-13,98.02149728334045,22.25705103845082,5,1,1
2020-01-14,90.94983867015655,23.307961393940168,6,1,1
2020-01-15,101.09394777221411,25.979867428489474,0,1,0
2020-01-16,117.0323130453982,23.88181327511099,1,1,0
2020-01-17,116.95831090637525,21.849046583024254,2,1,0
2020-01-18,120.39731517569585,23.144298092408228,3,1,0
2020-01-19,96.91956314415359,23.229404751052495,4,1,0
2020-01-20,98.93939823805145,25.67462385469036,5,1,1
2020-01-21,95.15378276639015,24.6983064892062,6,1,1
2020-01-22,110.48427480153943,23.98778472778685,0,1,0
2020-01-23,116.23776456438748,25.489500049785853,1,1,0
2020-01-24,116.06246545506622,24.53388584466865,2,1,0
2020-01-25,122.09197320423574,26.370675939533207,3,1,0
2020-01-26,105.71473483309335,25.120323175858772,4,1,0
2020-01-27,99.6556687009429,24.886084760783007,5,1,1
2020-01-28,96.58399742875798,27.313365616491833,6,1,1
2020-01-29,114.71411227008693,27.909215680978615,0,1,0
2020-01-30,127.44484793544179,26.908256598444076,1,1,0
2020-01-31,116.46670946087502,24.920106006950654,2,1,0
2020-02-01,118.7934900745909,28.557099081215213,3,2,0
2020-02-02,111.75641048423947,24.667572560798696,4,2,0
2020-02-03,109.14364401112886,29.166518300980446,5,2,1
2020-02-04,109.14191414705094,30.932670539725155,6,2,1
2020-02-05,111.51042606770051,29.399144472703618,0,2,0
2020-02-06,122.22180414353157,28.926009702743414,1,2,0
2020-02-07,122.1095266130767,28.582611399467556,2,2,0
2020-02-08,124.19983705781183,26.943662068866388,3,2,0
2020-02-09,112.11086273145835,30.84757328361381,4,2,0
2020-02-10,103.4550919608138,27.805478709781507,5,2,1
2020-02-11,114.15580332721552,27.699119654609618,6,2,1
2020-02-12,113.9313507827845,28.948221386350923,0,2,0
2020-02-13,129.98754240760232,27.48329615624834,1,2,0
2020-02-14,128.59578167420923,30.49023177478789,2,2,0
2020-02-15,122.33862449377456,30.698040937736693,3,2,0
